Player,Age,G,MP,FGA,eFG%,TRB,AST,PTS
Dāvis Bertāns,25,77,14.1,4.8,0.568,2,1,5.9
Gorgui Dieng,28,79,16.9,4.9,0.504,4.6,0.9,5.9
Kenneth Faried,28,32,14.4,4.6,0.514,4.8,0.6,5.9
Dorian Finney-Smith,24,21,21.3,5.8,0.463,3.6,1.2,5.9
Frank Ntilikina,19,78,21.9,6.4,0.414,2.3,3.2,5.9
Deyonta Davis,21,62,15.2,4.3,0.608,4,0.6,5.8
Jonas Jerebko,30,74,15.3,4.6,0.562,3.3,0.6,5.8
Timothé Luwawu-Cabarrot,22,52,15.5,5.1,0.474,1.4,1,5.8
Xavier Rathan-Mayes,23,5,23.6,8.4,0.298,1,3.6,5.8
Tristan Thompson,26,53,20.2,4.4,0.562,6.6,0.6,5.8
Dante Cunningham,30,73,21.4,5,0.53,4.1,0.7,5.7
Bismack Biyombo,25,82,18.2,4.3,0.52,5.7,0.8,5.7
Omri Casspi,29,53,14,3.9,0.604,3.8,1,5.7
Jack Cooley,26,7,12.4,3.9,0.481,4.3,0.9,5.7
Jameel Warney,24,3,9,4,0.583,3,0,5.7
Cristiano Felício,25,55,17.8,3.9,0.591,4.2,1,5.6
Ivan Rabb,20,36,14.3,4.2,0.566,4.4,0.9,5.6
Omari Johnson,28,4,18.8,5.3,0.524,2.8,1.8,5.5
Shaun Livingston,32,71,15.9,4.8,0.501,1.8,2,5.5
Norman Powell,24,70,15.2,5.3,0.472,1.7,1.3,5.5
C.J. Williams,27,38,18.6,5.2,0.497,1.5,1.1,5.5
Wade Baldwin,21,7,11.4,3,0.762,1.1,0.7,5.4
Vince Carter,41,58,17.7,4.9,0.504,2.6,1.2,5.4
Pat Connaughton,25,82,18.1,4.8,0.518,2,1.1,5.4
Myke Henry,25,20,18.9,5.5,0.463,1.9,1.1,5.4
Jonathan Isaac,20,27,19.9,5.4,0.434,3.7,0.7,5.4
Wesley Johnson,30,74,20.1,5,0.489,2.9,0.8,5.4
Maxi Kleber,26,72,16.8,4.3,0.553,3.3,0.7,5.4
Jon Leuer,28,8,17,4.5,0.417,4,0.6,5.4
Zaza Pachulia,33,69,14.1,3.8,0.564,4.7,1.6,5.4
Corey Brewer,31,72,16.8,4.4,0.498,2.1,0.9,5.3
Ed Davis,28,78,18.9,3.7,0.582,7.4,0.5,5.3
Daniel Theis,25,63,14.9,3.7,0.579,4.3,0.9,5.3
Luke Babbitt,28,50,14.3,4.3,0.563,1.9,0.6,5.2
DeAndre' Bembry,23,26,17.5,4.9,0.457,2.8,1.9,5.2
Brandon Jennings,28,14,14.6,5.1,0.438,2.2,3.1,5.2
Willy Hernangómez,23,48,10.3,3.4,0.57,3.8,0.7,5.1
Jamel Artis,25,15,18.6,5.3,0.443,2.5,1.2,5.1
Tyus Jones,21,82,17.9,4,0.526,1.6,2.8,5.1
Rodney McGruder,26,18,16.6,4.1,0.596,1.8,0.9,5.1
Shabazz Muhammad,25,43,9.7,4.4,0.465,1.8,0.3,5
Channing Frye,34,53,13.1,4,0.583,2.5,0.7,5
Royce O'Neale,24,69,16.7,4.1,0.496,3.4,1.4,5
Andre Roberson,26,39,26.6,4.2,0.562,4.7,1.2,5
Brandan Wright,30,28,13.6,3.6,0.578,3.4,0.5,5
Noah Vonleh,22,54,16.2,4.3,0.487,5.8,0.6,4.9
